user,text_review,sentiment_review,sentiment_score,rate,time_visit,language,platform
marcus E,"What a wonderful and beutiful little gem in the heart of Saigon.; First of all, it is a bit hidden and hard to find from the street.; But once you found it by going up a staircase and walked 10 meters will you find …",POSITIVE,0.9991281628608704,5,2019-04-10 11:41,en,google_map
Srht01 Srht,"If you like bowls with vegetables or fruits, I recommend that for you.; The restaurant is above a motorbike shop, you have to go through there and go upstairs. The selection for the vegetables is good, but no that good for …",NEGATIVE,0.5933054685592651,4,2019-04-10 11:42,en,google_map
Dex Nguyen,"Really nice English speaking staff. She was helpful and helped us picking the ingredients for our first time trying Poke. The ingredients are fresh enough and the proportion is as you can see, huge. We asked for and they happily added more …",POSITIVE,0.9998623132705688,5,2019-04-10 11:42,en,google_map
Shyn Marie Ebol,Great food and nice chill place.; ; To get to the place you walk into a motorcylce parking space then a few flight …,POSITIVE,0.9997056126594543,5,2019-04-10 11:42,en,google_map
Hanna Mickiewicz,It's a cute place hidden in one of Saigon's apartment buildings. Everything is super clean and there are some comfortable seats. I haven't tried their poke but I had a pitaya bowl. It was tasty but I feel like some extra toppings would make it even better. The smoothie part was frozen - basically like a sorbet.,NEGATIVE,0.9466679096221924,4,2019-04-10 11:43,en,google_map
Shoe “Shoe” Thompson,150k for a bowl.; ; Easy to order with a lot of free reign for what your want. Cool quiet lounge-y …,POSITIVE,0.9958943128585817,5,2019-04-10 11:43,en,google_map
Agi Ro,"One of the hidden treasures of the city. Once you arrive to the address, you must walk into a tiny motorbike parking garage room towards a grand staircase at the back. Then just walk up a floor & you'll be outside again, you will see signs …",POSITIVE,0.9866824150085448,4,2019-04-10 11:43,en,google_map
Roxy,Always amazing poke here! You can make a vegan poke bowl by choosing tofu and sesame-soy dressings with the right toppings. So delicious! It’s 120k vnd for a vegetarian/vegan bowl (150k for a regular bowl).,POSITIVE,0.9995859265327454,5,2019-04-10 11:44,en,google_map
H,"Amazing place. You make your own poke bowl with a base of rice, salad or both, then add raw fish and lots of other ingredients and sauces. Everything is so fresh and delicious and very reasonably priced. Staff is also very friendly and helpful. If I lived in HCMC I would definitely be a regular here.",POSITIVE,0.9998575448989868,5,2019-04-10 11:45,en,google_map
Sascha D'Altobrando,"Very very nice place, it seams to be hosted in an apartment. The girls are very gentle and patient with us foreigners. The food is excellent and served best. Highly recommended. The place is a little bit hidden and not easy to find and the entrance might discourage, but do not hesitate and reach the first floor...you won't regret it 2 …",POSITIVE,0.9997454285621644,5,2019-04-10 11:45,en,google_map
Laura-Christine Schmidt,"Most amazing poke bowl ever! So delicious! And a great variety to chose from. The staff was really friendly, helpful and spoke English perfectly. The restaurant is really cute just a little bit hidden. I will definitely come back!",POSITIVE,0.9998637437820436,5,2019-04-10 11:46,en,google_map
Ed OD,Fantastic poke bowl with about 20 kinds of toppings and 7 sauce options. Every bowl custom made for you. 45k tete craft beer from  6-8pm too. Left stuffed for 150k dong.,NEGATIVE,0.973514974117279,5,2019-04-10 11:46,en,google_map
Jon Sole,Excellent quality food and good topping variety with a great atmosphere. Highly recommend. …,POSITIVE,0.9998846054077148,5,2019-04-10 11:47,en,google_map
Trần Phan Thanh,"Món ăn không quá lạ nhưng cách kết hợp thì độc đáo và rất hợp miệng, nhiều lựa chọn về chủng loại rau cá topping. Không gian đẹp và yên tĩnh khá hợp để đi cặp đôi hoặc nhóm bạn nhỏ. Gửi xe dưới lầu 10k/chiếc.",POSITIVE,0.9997528195381165,4,2019-04-10 11:47,vi,google_map
Tanya Rofman,Excellent place! Super delicious food! Don't skip this place while visiting Ho Chi Min,POSITIVE,0.9998741149902344,5,2019-04-10 11:48,en,google_map
Alex Boon,"Great little restaurant tucked away on 1st floor accessed via a flight of stairs inside a building. Delicious fresh Poke, friendly staff and a nice chilled atmosphere!",POSITIVE,0.9998440742492676,5,2019-04-10 11:48,en,google_map
Shimi Liderman,"Wow! Such a special spot. It just oozes style and good vibes. Tucked away in a unique location on the 1st floor of a residential building, this beautiful little Poke shop serves a variety of super fresh ingredients with which you can build …",POSITIVE,0.999859094619751,5,2019-04-10 11:48,en,google_map
Eline Goethals,Little hidden gem with absolutely mindblowing food and interior. Loved it. Paid 175.000 for a full bowl and drink.,POSITIVE,0.9998302459716796,5,2019-04-10 11:48,en,google_map
michael laine,"For sure the best poke in town. While the others are too dry, these ones are perfect. Good service. Nice atmosphere.",POSITIVE,0.9998654127120972,5,2019-04-10 11:50,en,google_map
Vinh Tho Vu,"Ngon, tốt cho sức khỏe, giá hơi cao, diện tích hơi nhỏ",POSITIVE,0.9992734789848328,5,2019-04-10 11:54,vi,google_map
Levi Doan,Amazing fresh bowl - had the one with salmon! Also cool to chill or work in a quiet environment. Keep it up!,POSITIVE,0.9997597336769104,5,2019-04-10 11:54,en,google_map
Dung Pham Anh,"Đồ ăn hơi mắc, 150k 1 phần basic",NEGATIVE,0.9829736948013306,4,2019-04-10 11:54,vi,google_map
